Nu4,,,,,,,,,,,,,,,,,
Nu4,20181029_GM_2O-Me_Exp_M1A_1to100_03,Unknown Sample,,Method Settings,67752,NA,NA,NA,5.126,NA,NA,,NA,,1.85,M1A 1to100,
Nu4,20181029_GM_2O-Me_Exp_M1A_1to10k_01,Unknown Sample,,Method Settings,923,NA,NA,NA,0.066,NA,NA,,NA,,1.86,M1A 1to10k,
Nu4,20181029_GM_2O-Me_Exp_M1A_1to10k_02,Unknown Sample,,Method Settings,1025,NA,NA,NA,0.073,NA,NA,,NA,,1.85,M1A 1to10k,
Nu4,20181029_GM_2O-Me_Exp_M1A_1to10k_03,Unknown Sample,,Method Settings,846,NA,NA,NA,0.060,NA,NA,,NA,,1.85,M1A 1to10k,
Nu4,20181029_GM_2O-Me_Exp_M1A_Col_1to100_01,Unknown Sample,,Method Settings,57429,NA,NA,NA,4.344,NA,NA,,NA,,1.85,M1A_Col 1to100,
Nu4,20181029_GM_2O-Me_Exp_M1A_Col_1to100_02,Unknown Sample,,Method Settings,60603,NA,NA,NA,4.584,NA,NA,,NA,,1.85,M1A_Col 1to100,
Nu4,20181029_GM_2O-Me_Exp_M1A_Col_1to100_03,Unknown Sample,,Method Settings,57059,NA,NA,NA,4.316,NA,NA,,NA,,1.85,M1A_Col 1to100,
Nu4,20181029_GM_2O-Me_Exp_M1A_Col_1to10k_01,Unknown Sample,,Method Settings,774,NA,NA,NA,0.054,NA,NA,,NA,,1.84,M1A_Col 1to10k,
Nu4,20181029_GM_2O-Me_Exp_M1A_Col_1to10k_02,Unknown Sample,,Method Settings,654,NA,NA,NA,0.045,NA,NA,,NA,,1.83,M1A_Col 1to10k,
Nu4,20181029_GM_2O-Me_Exp_M1A_Col_1to10k_03,Unknown Sample,,Method Settings,956,NA,NA,NA,0.068,NA,NA,,NA,,1.85,M1A_Col 1to10k,
Nu4,20181029_GM_2O-Me_Exp_M1A_Extr_1to100_01,Unknown Sample,,Method Settings,13732,NA,NA,NA,1.036,NA,NA,,NA,,1.85,M1A_Extr 1to100,
Nu4,20181029_GM_2O-Me_Exp_M1A_Extr_1to100_02,Unknown Sample,,Method Settings,13774,NA,NA,NA,1.039,NA,NA,,NA,,1.85,M1A_Extr 1to100,
Nu4,20181029_GM_2O-Me_Exp_M1A_Extr_1to100_03,Unknown Sample,,Method Settings,13718,NA,NA,NA,1.035,NA,NA,,NA,,1.85,M1A_Extr 1to100,
Nu4,20181029_GM_2O-Me_Exp_M1A_Extr_1to10k_01,Unknown Sample,,Method Settings,263,NA,NA,NA,0.016,NA,NA,,NA,,1.88,M1A_Extr 1to10k,
Nu4,20181029_GM_2O-Me_Exp_M1A_Extr_1to10k_02,Unknown Sample,,Method Settings,220,NA,NA,NA,0.013,NA,NA,,NA,,1.83,M1A_Extr 1to10k,
Nu4,20181029_GM_2O-Me_Exp_M1A_Extr_1to10k_03,Unknown Sample,,Method Settings,305,NA,NA,NA,0.019,NA,NA,,NA,,1.83,M1A_Extr 1to10k,
Nu4,20181029_GM_2O-Me_Exp_M1B_1to100_01,Unknown Sample,,Method Settings,62294,NA,NA,NA,4.712,NA,NA,,NA,,1.84,M1B 1to100,
Nu4,20181029_GM_2O-Me_Exp_M1B_1to100_02,Unknown Sample,,Method Settings,62480,NA,NA,NA,4.727,NA,NA,,NA,,1.84,M1B 1to100,
Nu4,20181029_GM_2O-Me_Exp_M1B_1to100_03,Unknown Sample,,Method Settings,63170,NA,NA,NA,4.779,NA,NA,,NA,,1.84,M1B 1to100,
Nu4,20181029_GM_2O-Me_Exp_M1B_1to10k_01,Unknown Sample,,Method Settings,902,NA,NA,NA,0.064,NA,NA,,NA,,1.87,M1B 1to10k,
Nu4,20181029_GM_2O-Me_Exp_M1B_1to10k_02,Unknown Sample,,Method Settings,874,NA,NA,NA,0.062,NA,NA,,NA,,1.85,M1B 1to10k,
Nu4,20181029_GM_2O-Me_Exp_M1B_1to10k_03,Unknown Sample,,Method Settings,931,NA,NA,NA,0.066,NA,NA,,NA,,1.84,M1B 1to10k,
Nu4,20181029_GM_2O-Me_Exp_S1A_1to100_01,Unknown Sample,,Method Settings,80334,NA,NA,NA,6.078,NA,NA,,NA,,1.85,S1A 1to100,
Nu4,20181029_GM_2O-Me_Exp_S1A_1to100_02,Unknown Sample,,Method Settings,81775,NA,NA,NA,6.187,NA,NA,,NA,,1.85,S1A 1to100,
Nu4,20181029_GM_2O-Me_Exp_S1A_1to100_03,Unknown Sample,,Method Settings,82314,NA,NA,NA,6.228,NA,NA,,NA,,1.85,S1A 1to100,
Nu4,20181029_GM_2O-Me_Exp_S1A_1to10k_01,Unknown Sample,,Method Settings,1045,NA,NA,NA,0.075,NA,NA,,NA,,1.87,S1A 1to10k,
Nu4,20181029_GM_2O-Me_Exp_S1A_1to10k_02,Unknown Sample,,Method Settings,754,NA,NA,NA,0.053,NA,NA,,NA,,1.87,S1A 1to10k,
Nu4,20181029_GM_2O-Me_Exp_S1A_1to10k_03,Unknown Sample,,Method Settings,1148,NA,NA,NA,0.083,NA,NA,,NA,,1.85,S1A 1to10k,
Nu4,20181029_GM_2O-Me_Exp_S1B_1to100_01,Unknown Sample,,Method Settings,65932,NA,NA,NA,4.988,NA,NA,,NA,,1.84,S1B 1to100,
Nu4,20181029_GM_2O-Me_Exp_S1B_1to100_02,Unknown Sample,,Method Settings,64705,NA,NA,NA,4.895,NA,NA,,NA,,1.85,S1B 1to100,
Nu4,20181029_GM_2O-Me_Exp_S1B_1to100_03,Unknown Sample,,Method Settings,64924,NA,NA,NA,4.912,NA,NA,,NA,,1.84,S1B 1to100,
Nu4,20181029_GM_2O-Me_Exp_S1B_1to10k_01,Unknown Sample,,Method Settings,1075,NA,NA,NA,0.077,NA,NA,,NA,,1.86,S1B 1to10k,
Nu4,20181029_GM_2O-Me_Exp_S1B_1to10k_02,Unknown Sample,,Method Settings,745,NA,NA,NA,0.052,NA,NA,,NA,,1.88,S1B 1to10k,
Nu4,20181029_GM_2O-Me_Exp_S1B_1to10k_03,Unknown Sample,,Method Settings,971,NA,NA,NA,0.069,NA,NA,,NA,,1.84,S1B 1to10k,
Nu4,20181029_GM_2O-Me_Exp_S3A_1to100_01,Unknown Sample,,Method Settings,66346,NA,NA,NA,5.019,NA,NA,,NA,,1.85,S3A 1to100,
Nu4,20181029_GM_2O-Me_Exp_S3A_1to100_02,Unknown Sample,,Method Settings,67036,NA,NA,NA,5.072,NA,NA,,NA,,1.84,S3A 1to100,
Nu4,20181029_GM_2O-Me_Exp_S3A_1to100_03,Unknown Sample,,Method Settings,66720,NA,NA,NA,5.048,NA,NA,,NA,,1.84,S3A 1to100,
Nu4,20181029_GM_2O-Me_Exp_S3A_1to10k_01,Unknown Sample,,Method Settings,903,NA,NA,NA,0.064,NA,NA,,NA,,1.85,S3A 1to10k,
Nu4,20181029_GM_2O-Me_Exp_S3A_1to10k_02,Unknown Sample,,Method Settings,993,NA,NA,NA,0.071,NA,NA,,NA,,1.85,S3A 1to10k,
Nu4,20181029_GM_2O-Me_Exp_S3A_1to10k_03,Unknown Sample,,Method Settings,905,NA,NA,NA,0.064,NA,NA,,NA,,1.85,S3A 1to10k,
Nu4,20181029_GM_2O-Me_Exp_S3B_1to100_01,Unknown Sample,,Method Settings,66552,NA,NA,NA,5.035,NA,NA,,NA,,1.85,S3B 1to100,
Nu4,20181029_GM_2O-Me_Exp_S3B_1to100_02,Unknown Sample,,Method Settings,65874,NA,NA,NA,4.984,NA,NA,,NA,,1.85,S3B 1to100,
Nu4,20181029_GM_2O-Me_Exp_S3B_1to100_03,Unknown Sample,,Method Settings,67590,NA,NA,NA,5.113,NA,NA,,NA,,1.85,S3B 1to100,
Nu4,20181029_GM_2O-Me_Exp_S3B_1to10k_01,Unknown Sample,,Method Settings,1100,NA,NA,NA,0.079,NA,NA,,NA,,1.84,S3B 1to10k,
Nu4,20181029_GM_2O-Me_Exp_S3B_1to10k_02,Unknown Sample,,Method Settings,1446,NA,NA,NA,0.105,NA,NA,,NA,,1.85,S3B 1to10k,
Nu4,20181029_GM_2O-Me_Exp_S3B_1to10k_03,Unknown Sample,,Method Settings,1348,NA,NA,NA,0.098,NA,NA,,NA,,1.91,S3B 1to10k,
Nu4,,,,,,,,,,,,,,,,,
Nu4,,,,,,,,,,,,,,,,,
Nu4,,,,,,,,,,,,,,,,,
Nu4,Created By:,,,,,,,,,,,,,,,,
Nu4,User Name,,Full Name,,Date,,,,,,,,,,,,
Nu4,TSQ_Quantiva,,TSQ_Quantiva,,          11/1/2018 8:23:01 PM,,,,,,,,,,,,
