Nu11,,,,,,,,,,,,,,,,,
Nu11,Component Name,,Curve Index,Weighting Index,Origin Index,Equation,,,,,,,,,,,
Nu11,20181029_GM_2O-Me_Exp_M1A_1to100_02,Unknown Sample,,Method Settings,3097756,NA,NA,NA,478.684,NA,NA,Response High,NA,,1.63,M1A 1to100,
Nu11,20181029_GM_2O-Me_Exp_M1A_1to100_03,Unknown Sample,,Method Settings,3088098,NA,NA,NA,477.191,NA,NA,Response High,NA,,1.63,M1A 1to100,
Nu11,20181029_GM_2O-Me_Exp_M1A_1to10k_01,Unknown Sample,,Method Settings,53086,NA,NA,NA,8.078,NA,NA,,NA,,1.63,M1A 1to10k,
Nu11,20181029_GM_2O-Me_Exp_M1A_1to10k_02,Unknown Sample,,Method Settings,52349,NA,NA,NA,7.964,NA,NA,,NA,,1.63,M1A 1to10k,
Nu11,20181029_GM_2O-Me_Exp_M1A_1to10k_03,Unknown Sample,,Method Settings,51543,NA,NA,NA,7.839,NA,NA,,NA,,1.63,M1A 1to10k,
Nu11,20181029_GM_2O-Me_Exp_M1A_Col_1to100_01,Unknown Sample,,Method Settings,2716970,NA,NA,NA,419.826,NA,NA,Response High,NA,,1.63,M1A_Col 1to100,
Nu11,20181029_GM_2O-Me_Exp_M1A_Col_1to100_02,Unknown Sample,,Method Settings,2698117,NA,NA,NA,416.912,NA,NA,Response High,NA,,1.63,M1A_Col 1to100,
Nu11,20181029_GM_2O-Me_Exp_M1A_Col_1to100_03,Unknown Sample,,Method Settings,2765648,NA,NA,NA,427.351,NA,NA,Response High,NA,,1.63,M1A_Col 1to100,
Nu11,20181029_GM_2O-Me_Exp_M1A_Col_1to10k_01,Unknown Sample,,Method Settings,43154,NA,NA,NA,6.543,NA,NA,,NA,,1.63,M1A_Col 1to10k,
Nu11,20181029_GM_2O-Me_Exp_M1A_Col_1to10k_02,Unknown Sample,,Method Settings,42912,NA,NA,NA,6.505,NA,NA,,NA,,1.63,M1A_Col 1to10k,
Nu11,20181029_GM_2O-Me_Exp_M1A_Col_1to10k_03,Unknown Sample,,Method Settings,42536,NA,NA,NA,6.447,NA,NA,,NA,,1.63,M1A_Col 1to10k,
Nu11,20181029_GM_2O-Me_Exp_M1A_Extr_1to100_01,Unknown Sample,,Method Settings,1023856,NA,NA,NA,158.127,NA,NA,Response High,NA,,1.63,M1A_Extr 1to100,
Nu11,20181029_GM_2O-Me_Exp_M1A_Extr_1to100_02,Unknown Sample,,Method Settings,1046692,NA,NA,NA,161.656,NA,NA,Response High,NA,,1.63,M1A_Extr 1to100,
Nu11,20181029_GM_2O-Me_Exp_M1A_Extr_1to100_03,Unknown Sample,,Method Settings,1050978,NA,NA,NA,162.319,NA,NA,Response High,NA,,1.63,M1A_Extr 1to100,
Nu11,20181029_GM_2O-Me_Exp_M1A_Extr_1to10k_01,Unknown Sample,,Method Settings,17123,NA,NA,NA,2.519,NA,NA,,NA,,1.63,M1A_Extr 1to10k,
Nu11,20181029_GM_2O-Me_Exp_M1A_Extr_1to10k_02,Unknown Sample,,Method Settings,17206,NA,NA,NA,2.532,NA,NA,,NA,,1.63,M1A_Extr 1to10k,
Nu11,20181029_GM_2O-Me_Exp_M1A_Extr_1to10k_03,Unknown Sample,,Method Settings,17781,NA,NA,NA,2.621,NA,NA,,NA,,1.63,M1A_Extr 1to10k,
Nu11,20181029_GM_2O-Me_Exp_M1B_1to100_01,Unknown Sample,,Method Settings,3099455,NA,NA,NA,478.946,NA,NA,Response High,NA,,1.63,M1B 1to100,
Nu11,20181029_GM_2O-Me_Exp_M1B_1to100_02,Unknown Sample,,Method Settings,3094137,NA,NA,NA,478.124,NA,NA,Response High,NA,,1.63,M1B 1to100,
Nu11,20181029_GM_2O-Me_Exp_M1B_1to100_03,Unknown Sample,,Method Settings,3104753,NA,NA,NA,479.765,NA,NA,Response High,NA,,1.63,M1B 1to100,
Nu11,20181029_GM_2O-Me_Exp_M1B_1to10k_01,Unknown Sample,,Method Settings,54100,NA,NA,NA,8.234,NA,NA,,NA,,1.63,M1B 1to10k,
Nu11,20181029_GM_2O-Me_Exp_M1B_1to10k_02,Unknown Sample,,Method Settings,52058,NA,NA,NA,7.919,NA,NA,,NA,,1.63,M1B 1to10k,
Nu11,20181029_GM_2O-Me_Exp_M1B_1to10k_03,Unknown Sample,,Method Settings,55232,NA,NA,NA,8.410,NA,NA,,NA,,1.64,M1B 1to10k,
Nu11,20181029_GM_2O-Me_Exp_S1A_1to100_01,Unknown Sample,,Method Settings,3713227,NA,NA,NA,573.815,NA,NA,Response High,NA,,1.64,S1A 1to100,
Nu11,20181029_GM_2O-Me_Exp_S1A_1to100_02,Unknown Sample,,Method Settings,3767037,NA,NA,NA,582.132,NA,NA,Response High,NA,,1.63,S1A 1to100,
Nu11,20181029_GM_2O-Me_Exp_S1A_1to100_03,Unknown Sample,,Method Settings,3767113,NA,NA,NA,582.144,NA,NA,Response High,NA,,1.63,S1A 1to100,
Nu11,20181029_GM_2O-Me_Exp_S1A_1to10k_01,Unknown Sample,,Method Settings,63472,NA,NA,NA,9.683,NA,NA,,NA,,1.64,S1A 1to10k,
Nu11,20181029_GM_2O-Me_Exp_S1A_1to10k_02,Unknown Sample,,Method Settings,61007,NA,NA,NA,9.302,NA,NA,,NA,,1.64,S1A 1to10k,
Nu11,20181029_GM_2O-Me_Exp_S1A_1to10k_03,Unknown Sample,,Method Settings,61109,NA,NA,NA,9.318,NA,NA,,NA,,1.63,S1A 1to10k,
Nu11,20181029_GM_2O-Me_Exp_S1B_1to100_01,Unknown Sample,,Method Settings,3256144,NA,NA,NA,503.165,NA,NA,Response High,NA,,1.63,S1B 1to100,
Nu11,20181029_GM_2O-Me_Exp_S1B_1to100_02,Unknown Sample,,Method Settings,3243115,NA,NA,NA,501.151,NA,NA,Response High,NA,,1.63,S1B 1to100,
Nu11,20181029_GM_2O-Me_Exp_S1B_1to100_03,Unknown Sample,,Method Settings,3290063,NA,NA,NA,508.408,NA,NA,Response High,NA,,1.63,S1B 1to100,
Nu11,20181029_GM_2O-Me_Exp_S1B_1to10k_01,Unknown Sample,,Method Settings,58716,NA,NA,NA,8.948,NA,NA,,NA,,1.64,S1B 1to10k,
Nu11,20181029_GM_2O-Me_Exp_S1B_1to10k_02,Unknown Sample,,Method Settings,58439,NA,NA,NA,8.905,NA,NA,,NA,,1.64,S1B 1to10k,
Nu11,20181029_GM_2O-Me_Exp_S1B_1to10k_03,Unknown Sample,,Method Settings,57659,NA,NA,NA,8.785,NA,NA,,NA,,1.63,S1B 1to10k,
Nu11,20181029_GM_2O-Me_Exp_S3A_1to100_01,Unknown Sample,,Method Settings,3215261,NA,NA,NA,496.846,NA,NA,Response High,NA,,1.63,S3A 1to100,
Nu11,20181029_GM_2O-Me_Exp_S3A_1to100_02,Unknown Sample,,Method Settings,3235818,NA,NA,NA,500.023,NA,NA,Response High,NA,,1.63,S3A 1to100,
Nu11,20181029_GM_2O-Me_Exp_S3A_1to100_03,Unknown Sample,,Method Settings,3180820,NA,NA,NA,491.522,NA,NA,Response High,NA,,1.63,S3A 1to100,
Nu11,20181029_GM_2O-Me_Exp_S3A_1to10k_01,Unknown Sample,,Method Settings,57152,NA,NA,NA,8.706,NA,NA,,NA,,1.63,S3A 1to10k,
Nu11,20181029_GM_2O-Me_Exp_S3A_1to10k_02,Unknown Sample,,Method Settings,56744,NA,NA,NA,8.643,NA,NA,,NA,,1.63,S3A 1to10k,
Nu11,20181029_GM_2O-Me_Exp_S3A_1to10k_03,Unknown Sample,,Method Settings,56518,NA,NA,NA,8.608,NA,NA,,NA,,1.63,S3A 1to10k,
Nu11,20181029_GM_2O-Me_Exp_S3B_1to100_01,Unknown Sample,,Method Settings,3181976,NA,NA,NA,491.701,NA,NA,Response High,NA,,1.63,S3B 1to100,
Nu11,20181029_GM_2O-Me_Exp_S3B_1to100_02,Unknown Sample,,Method Settings,3218873,NA,NA,NA,497.404,NA,NA,Response High,NA,,1.63,S3B 1to100,
Nu11,20181029_GM_2O-Me_Exp_S3B_1to100_03,Unknown Sample,,Method Settings,3173296,NA,NA,NA,490.360,NA,NA,Response High,NA,,1.63,S3B 1to100,
Nu11,20181029_GM_2O-Me_Exp_S3B_1to10k_01,Unknown Sample,,Method Settings,76868,NA,NA,NA,11.754,NA,NA,,NA,,1.63,S3B 1to10k,
Nu11,20181029_GM_2O-Me_Exp_S3B_1to10k_02,Unknown Sample,,Method Settings,77085,NA,NA,NA,11.787,NA,NA,,NA,,1.63,S3B 1to10k,
Nu11,20181029_GM_2O-Me_Exp_S3B_1to10k_03,Unknown Sample,,Method Settings,79416,NA,NA,NA,12.147,NA,NA,,NA,,1.65,S3B 1to10k,
Nu11,,,,,,,,,,,,,,,,,
Nu11,,,,,,,,,,,,,,,,,
Nu11,,,,,,,,,,,,,,,,,
Nu11,Created By:,,,,,,,,,,,,,,,,
Nu11,User Name,,Full Name,,Date,,,,,,,,,,,,
Nu11,TSQ_Quantiva,,TSQ_Quantiva,,          11/1/2018 8:23:01 PM,,,,,,,,,,,,
