Uri,,,,,,,,,,,,,,,,,
Uri,Component Name,,Curve Index,Weighting Index,Origin Index,Equation,,,,,,,,,,,
Uri,Uri,,Linear,1/X,Ignore,Y = 292.135+1513.01*X   R^2 = 0.9982,,,,,,,,,,,
Uri,,,,,,,,Specified,Calculated,,,,,,,,
Compound,Filename,Sample Type,Sample Name,Integ. Type,Height,ISTD Height,Height,Amount,Amount,%Diff,%RSD-RESP,Peak Status,Level,Units,RT,Sample ID,
Uri,20181029_GM_2O-Me_Exp_blank_13,Blank Sample,,Method Settings,NF,NA,NF,NA,NF,NF,NF,Not Found,NA,,NF,blank,
Uri,20181029_GM_2O-Me_Exp_blank_14,Blank Sample,,Method Settings,NF,NA,NF,NA,NF,NF,NF,Not Found,NA,,NF,blank,
Uri,20181029_GM_2O-Me_Exp_blank_15,Blank Sample,,Method Settings,NF,NA,NF,NA,NF,NF,NF,Not Found,NA,,NF,blank,
Uri,20181029_GM_2O-Me_Exp_blank_16,Blank Sample,,Method Settings,NF,NA,NF,NA,NF,NF,NF,Not Found,NA,,NF,blank,
Uri,20181029_GM_2O-Me_Exp_blank_17,Blank Sample,,Method Settings,253,NA,NA,NA,-0.026,NA,NA,Response Low,NA,,2.34,blank,
Uri,20181029_GM_2O-Me_Exp_blank_18,Blank Sample,,Method Settings,NF,NA,NF,NA,NF,NF,NF,Not Found,NA,,NF,blank,
Uri,20181029_GM_2O-Me_Exp_blank_19,Blank Sample,,Method Settings,NF,NA,NF,NA,NF,NF,NF,Not Found,NA,,NF,blank,
Uri,20181029_GM_2O-Me_Exp_blank_20,Blank Sample,,Method Settings,NF,NA,NF,NA,NF,NF,NF,Not Found,NA,,NF,blank,
Uri,20181029_GM_2O-Me_Exp_blank_21,Blank Sample,,Method Settings,NF,NA,NF,NA,NF,NF,NF,Not Found,NA,,NF,blank,
Uri,20181029_GM_2O-Me_Exp_blank_22,Blank Sample,,Method Settings,349,NA,NA,NA,0.037,NA,NA,,NA,,2.34,blank,
Uri,20181029_GM_2O-Me_Exp_blank_cal_01,Blank Sample,,Method Settings,NF,NA,NF,NA,NF,NF,NF,Not Found,NA,,NF,blank,
Uri,20181029_GM_2O-Me_Exp_blank_cal_02,Blank Sample,,Method Settings,NF,NA,NF,NA,NF,NF,NF,Not Found,NA,,NF,blank,
Uri,20181029_GM_2O-Me_Exp_blank_cal_03,Blank Sample,,Method Settings,NF,NA,NF,NA,NF,NF,NF,Not Found,NA,,NF,blank,
Uri,20181029_GM_2O-Me_Exp_blank_start_01,Blank Sample,,Method Settings,NF,NA,NF,NA,NF,NF,NF,Not Found,NA,,NF,blank,
Uri,20181029_GM_2O-Me_Exp_blank_start_02,Blank Sample,,Method Settings,NF,NA,NF,NA,NF,NF,NF,Not Found,NA,,NF,blank,
Uri,20181029_GM_2O-Me_Exp_wash_MeOH_01,Blank Sample,,Method Settings,NF,NA,NF,NA,NF,NF,NF,Not Found,NA,,NF,wash,
Uri,20181029_GM_2O-Me_Exp_wash_MeOH_02,Blank Sample,,Method Settings,NF,NA,NF,NA,NF,NF,NF,Not Found,NA,,NF,wash,
Uri,20181029_GM_2O-Me_Exp_wash_MeOH_03,Blank Sample,,Method Settings,NF,NA,NF,NA,NF,NF,NF,Not Found,NA,,NF,wash,
Uri,20181029_GM_2O-Me_Exp_wash_MeOH_04,Blank Sample,,Method Settings,NF,NA,NF,NA,NF,NF,NF,Not Found,NA,,NF,wash,
Uri,20181029_GM_2O-Me_Exp_wash_MeOH_05,Blank Sample,,Method Settings,NF,NA,NF,NA,NF,NF,NF,Not Found,NA,,NF,wash,
Uri,20181029_GM_2O-Me_Exp_wash_MeOH_06,Blank Sample,,Method Settings,NF,NA,NF,NA,NF,NF,NF,Not Found,NA,,NF,wash,
Uri,20181029_GM_2O-Me_Exp_wash_MeOH_07,Blank Sample,,Method Settings,NF,NA,NF,NA,NF,NF,NF,Not Found,NA,,NF,wash,
Uri,20181029_GM_2O-Me_Exp_wash_MeOH_08,Blank Sample,,Method Settings,NF,NA,NF,NA,NF,NF,NF,Not Found,NA,,NF,wash,
Uri,20181029_GM_2O-Me_Exp_wash_MeOH_09,Blank Sample,,Method Settings,NF,NA,NF,NA,NF,NF,NF,Not Found,NA,,NF,wash,
Uri,20181029_GM_2O-Me_Exp_wash_MeOH_10,Blank Sample,,Method Settings,NF,NA,NF,NA,NF,NF,NF,Not Found,NA,,NF,wash,
Uri,20181029_GM_2O-Me_Exp_wash_MeOH_11,Blank Sample,,Method Settings,NF,NA,NF,NA,NF,NF,NF,Not Found,NA,,NF,wash,
Uri,20181029_GM_2O-Me_Exp_wash_MeOH_12,Blank Sample,,Method Settings,NF,NA,NF,NA,NF,NF,NF,Not Found,NA,,NF,wash,
Uri,20181029_GM_2O-Me_Exp_wash_MeOH_13,Blank Sample,,Method Settings,NF,NA,NF,NA,NF,NF,NF,Not Found,NA,,NF,wash,
Uri,20181029_GM_2O-Me_Exp_wash_MeOH_14,Blank Sample,,Method Settings,NF,NA,NF,NA,NF,NF,NF,Not Found,NA,,NF,wash,
Uri,20181029_GM_2O-Me_Exp_wash_MeOH_15,Blank Sample,,Method Settings,NF,NA,NF,NA,NF,NF,NF,Not Found,NA,,NF,wash,
Uri,20181029_GM_2O-Me_Exp_wash_MeOH_16,Blank Sample,,Method Settings,NF,NA,NF,NA,NF,NF,NF,Not Found,NA,,NF,wash,
Uri,20181029_GM_2O-Me_Exp_wash_MeOH_17,Blank Sample,,Method Settings,NF,NA,NF,NA,NF,NF,NF,Not Found,NA,,NF,wash,
Uri,20181029_GM_2O-Me_Exp_wash_MeOH_18,Blank Sample,,Method Settings,NF,NA,NF,NA,NF,NF,NF,Not Found,NA,,NF,wash,
Uri,20181029_GM_2O-Me_Exp_wash_MeOH_19,Blank Sample,,Method Settings,NF,NA,NF,NA,NF,NF,NF,Not Found,NA,,NF,wash,
Uri,20181029_GM_2O-Me_Exp_wash_MeOH_20,Blank Sample,,Method Settings,NF,NA,NF,NA,NF,NF,NF,Not Found,NA,,NF,wash,
Uri,20181029_GM_2O-Me_Exp_wash_MeOH_21,Blank Sample,,Method Settings,NF,NA,NF,NA,NF,NF,NF,Not Found,NA,,NF,wash,
